Algo Name : ALL Results averaged from 20 test cycles and if error - no results printed, Total Time , Average Small, Average Big, Average Super Big,  SMALL Avrg RAND_with_Repeats, SMALL Avrg REV_SORTED, SMALL Avrg RAND_NO_REPEATS_SHUFFLED, SMALL Avrg SORTED, SMALL Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SMALL Avrg ONE_NUMBER, SMALL Avrg ONLY_ZEROES, BIG Avrg RAND_with_Repeats, BIG Avrg REV_SORTED, BIG Avrg RAND_NO_REPEATS_SHUFFLED, BIG Avrg SORTED, BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, BIG Avrg ONE_NUMBER, BIG Avrg ONLY_ZEROES, SUP BIG Avrg RAND_with_Repeats, SUP BIG Avrg REV_SORTED, SUP BIG Avrg RAND_NO_REPEATS_SHUFFLED, SUP BIG Avrg SORTED, SUP BIG Avrg SORTED_WITH_SOME_ZEROES_INSERTED, SUP BIG Avrg ONE_NUMBER, SUP BIG Avrg ONLY_ZEROES, 
svpv_isort_qsort,1108679107,24768,3922385,111066411,52438, 11246, 49537, 8122, 26241, 12942, 12853, 6997651, 2033613, 8536668, 1341944, 3714400, 2444345, 2388075, 201302619, 47175992, 246718014, 39778803, 95887208, 73459555, 73142691, 
svpv_isort_qsort ALIGNED ,1129168099,23946,3903604,114227008,41950, 11603, 52215, 8167, 26777, 14236, 12674, 6966820, 1637980, 8862717, 1327477, 3529973, 2447543, 2552718, 209341567, 50578029, 254940832, 39618586, 99470437, 72696853, 72942756, 
svpv_isort_qsort,1103286180,23417,3879898,110819360,43021, 11157, 49359, 8211, 26241, 13031, 12897, 7430957, 1932492, 8282657, 1320969, 3438633, 2384096, 2369480, 199710718, 47128240, 246947405, 39885018, 95809553, 73098510, 73156081, 
svpv_isort_qsort ALIGNED ,1096037603,23136,3781104,110972181,41638, 11157, 49314, 8122, 26018, 12897, 12808, 6983482, 1631807, 8310327, 1315353, 3457674, 2383315, 2385770, 200445304, 47182686, 246543962, 40586580, 95806429, 72978012, 73262297, 
svpv_isort_qsort,1100347389,23245,3829404,111007183,42129, 11157, 49448, 8300, 26107, 12808, 12763, 6998618, 1938405, 8314046, 1331605, 3462211, 2387852, 2373088, 200367204, 47004618, 247160283, 39515941, 95813124, 74087926, 73101187, 
svpv_isort_qsort ALIGNED ,1098985321,36130,3823373,110756115,41727, 20529, 91712, 14995, 41727, 21466, 20752, 6971953, 1657134, 8383666, 1338746, 3532055, 2471345, 2408716, 200541255, 48582685, 245907558, 39564585, 95395400, 72587066, 72714258, 
svpv_isort_qsort,1118519257,27248,3854996,113256017,69442, 11201, 49448, 8479, 26063, 13433, 12674, 7171219, 1936099, 8314790, 1333762, 3463104, 2388968, 2377030, 200899177, 47117082, 261742229, 39570833, 97183668, 73140460, 73138676, 
svpv_isort_qsort ALIGNED ,1104453208,23245,3776997,112222610,41816, 11112, 49850, 8122, 26197, 12897, 12719, 7007507, 1627939, 8284628, 1316022, 3446628, 2384580, 2371674, 202271060, 47173314, 254351288, 39802456, 96012167, 73177948, 72770043, 
svpv_isort_qsort,1101139546,23449,3831678,111091021,42888, 11112, 49492, 8167, 26643, 13031, 12808, 7003044, 1934649, 8318769, 1334990, 3457860, 2394324, 2378109, 200800994, 47244274, 247406632, 39612338, 96121508, 73197585, 73253817, 
svpv_isort_qsort ALIGNED ,1096104991,23487,3780408,110986653,41861, 11558, 50117, 8345, 26286, 13299, 12942, 6974333, 1633778, 8302108, 1319146, 3453806, 2411877, 2367807, 200924169, 47488838, 246533251, 39822092, 95828744, 73336826, 72972657, 
